Nama Tanaman,Nama Ilmiah,Tahap Menanam,Detail Kegiatan,gambar,source
Padi,Oryza sativa,Tahap 1: menanam padi,"1. Belilah bibit padi dari toko penyuplai bahan berkebun atau bertani. 
Ada lima tipe dasar padi yang dapat dipilih, yaitu biji padi berbentuk panjang, biji padi berukuran sedang, biji padi berbentuk pendek, biji padi manis, dan biji padi beraroma. Jenis padi yang dipilih tergantung pada kebutuhan dan preferensi, serta dapat dibeli dari toko penyuplai atau dengan bantuan petugas lapangan pertanian lokal. Ada juga jenis padi khusus seperti Arborio yang digunakan untuk masakan Italia seperti risotto.   ",,https://id.wikihow.com/Menanam-Padi
,,,"2. Pilihlah lokasi Anda untuk bercocok tanam. 
Untuk bercocok tanam padi, pastikan tanah mengandung asam yang sedikit dan terdapat sumber air yang jelas dengan jalan untuk mengeringkan air saat panen. Pilih lokasi yang mendapatkan cahaya matahari penuh dengan suhu minimal 70° Fahrenheit (sekitar 21° Celcius). Pertimbangkan musim, karena padi membutuhkan musim panas yang panjang untuk tumbuh. Jika tempat tidak memiliki musim panas yang panjang, sebaiknya menanam padi di dalam ruangan. Bibit padi dapat juga ditanam pada keranjang plastik dengan jenis tanah yang sama.",,
,,,"3. Kumpulkan 1 atau 2 ons (28.5 sampai 56.5 g) bibit padi untuk ditanam. Rendam bibit di dalam air untuk menyiapkan penanamannya. Biarkan terendam selama 12 jam namun tidak lebih dari 36 jam. Pisahkan bibit dari air setelahnya. 
Ketika bibit padi sedang terendam, perlu membuat rencana menanamnya dengan mempertimbangkan pembuatan barisan dan parit untuk menjaga air tetap tersimpan dan terbendung. Beberapa orang mengatakan bahwa area bercocok tanam tidak perlu terus terendam air, tetapi hanya perlu menjaga kondisinya selalu dalam kondisi basah. Selain itu, penting juga untuk mempertimbangkan cara menyiangi bibit dan memudahkan pemberian air.",,
,,,"4. Tanamlah bibit padi ke dalam tanah, selama musim gugur atau musim semi. 
Untuk menanam bibit padi, perlu menghilangkan rumput liar, menyediakan kebun yang rata, dan menyiapkan tanah yang basah. Jika menggunakan keranjang, isilah setidaknya 6 inchi (15cm) tanah basah dan tambahkan bibit padi. Pastikan tempat menanam terendam air, dan jika menanam di luar ruangan, menggunakan beberapa kebun bibit akan lebih mudah untuk dikelola dan dipertahankan. Jika menanam di musim gugur, pastikan memangkas rumput liar ketika musim semi datang dan memberikan bibit padi seluruh nutrisi dan tempat yang dibutuhkan.",,
,,,,,
,,Tahap 2: pemeliharaan bibit,"1. Isilah keranjang atau petak kebun dengan setidaknya 2 inci (5.1 cm) air. Bagaimanapun, hal ini hanya rekomendasi lama. Kebanyakan orang mengatakan menjaga tanah tetap lembab sudah cukup dan tidak perlu tanah tersebut sampai terendam air. Bagian ini sangat bergantung pada Anda; pastikan lahan ini basah. 
Untuk menambahkan nutrisi pada bibit padi, perlu menambahkan pupuk kompos atau campuran jerami dan dedaunan ke dalam tanah yang melapisi selapis tipis bibit padi. Hal ini akan memadatkan bibit padi masuk ke dalam tanah. Pupuk kompos yang terbuat dari bahan organik lebih lembab, sehingga cocok untuk daerah dengan iklim kering.",,
,,,"2. Amati banyaknya air pada area bercocok tanam, jagalah tanah agar tetap basah. 
Untuk menumbuhkan bibit padi, pastikan air tetap setinggi 2 inch atau tanah tetap basah. Jika bibit padi ditanam dalam keranjang, pertimbangkan untuk memindahkannya ke daerah yang lebih hangat pada malam hari. Perusahaan komersial yang memproduksi beras terkadang merendam bibit padi hingga mencapai 8 inch. Tambahkan air jika tanaman sudah setinggi 7 inci.",,
,,,"3. Minimalkan bibit padi atau perluas area bercocok tanam untuk mencegah tanaman yang berdesakan.  
Untuk hasil terbaik, beri jarak antar bibit sekitar 4 inci atau pada baris dengan jarak 9 hingga 12 inci. Biarkan bibit tumbuh setinggi 7 inci selama sekitar satu bulan. Beberapa orang memilih untuk memulai menanam di tempat pembibitan dan transplantasikan ketika tanaman sudah setinggi 5-7 inci. Sebaiknya tanaman ditanam pada tempat pembibitan yang berlumpur.",,
,,,"4. Tunggulah sampai benih tumbuh dewasa. 
Padi akan mencapai ketinggian hingga 17 inch dalam waktu 3-4 bulan. Biarkan air mengering atau keringkan air sebelum memanen. Setelah 2 minggu, padi akan berubah menjadi keemasan dan siap untuk dipanen. Jika menanam padi, dapat mengeringkan tanah ketika tanaman sudah setinggi 15 inch, rendam kembali, kemudian keringkan lagi sebelum melanjutkan proses memanen.",,
,,Tahap 3: panen,"1. Potonglah batangnya dan biarkan mengering. 
Setelah padi berubah menjadi kuning sekitar 2 minggu setelah pengeringan air, potong batang padi tepat di atas kepala bibit. Biarkan padi mengering selama 2-3 minggu dan bungkus dengan kertas koran untuk dikeringkan sepenuhnya di tempat yang kering dan terkena sinar matahari. Padi yang lembab harus dikeringkan sepenuhnya untuk mendapatkan buliran padi yang bersih.",,
,,,"2. Panggang mereka pada suhu 180°F (82°C) selama satu jam. 
Ambil bagian kepala padi dan panggang dalam oven. Jangan memanggang terlalu panas agar buliran padi tidak terbakar. Selama proses, padi akan berubah menjadi lebih gelap atau kecoklatan.",,
,,,"3. Pisahkan biji padi dari kulitnya.  
Dinginkan padi setelah dipanggang dan gosok dengan tangan atau tumbuk untuk memisahkan biji dari kulitnya. Sekarang Anda dapat melihat biji padi yang siap dimasak dan dikonsumsi. Meskipun sedikit membosankan, teknologi modern dapat membantu dalam proses ini. Bersabarlah dan Anda akan menghasilkan simpanan makanan yang luar biasa yang diproduksi sendiri. ",,
,,,,,
jagung,Zea mays,Tahap 1: Memilih Jenis Jagung,"1. Lakukan riset pada area di mana Anda berniat menanam jagung. 
Penting untuk mengetahui iklim dan jenis tanah untuk menyiapkan setiap jenis jagung yang berbeda. Beberapa jenis jagung membutuhkan tanah yang lebih hangat/dingin dengan tingkat PH tanah yang berbeda.",,
,,,"2. Ketahui cara menanam jagung manis (sweet corn) 
Jagung manis adalah varietas jagung yang biasanya dimakan sebagai rebusan atau sudah berupa jagung kaleng. Ada tiga jenis jagung manis yaitu jagung manis standar, jagung manis dengan kadar gula tinggi, dan jagung manis super. Jagung manis standar lebih ringan dan harus dikonsumsi atau dikalengkan segera setelah dipanen. Jagung manis dengan kadar gula tinggi hasil modifikasi genetika untuk menambah rasa manis dan empuk biji jagung. Jagung manis super adalah varietas paling manis dengan ukuran biji yang lebih kecil dan akan mengerut bila kering.",,
,,,"3. Pelajari tentang dent corn (jagung gigi kuda).  
Jagung jenis dent corn bukanlah jenis yang ditanam untuk dikonsumsi mentah. Jagung ini terutama digunakan sebagai pakan hewan atau untuk makanan olahan. Menanam jagung jenis dent corn bermanfaat untuk pertanian atau dijual ke pertanian lain.",,
,,,"4. Ketahui jenis flint corn (jagung mutiara). 
Flint corn atau Indian corn memiliki karakter keras dengan beberapa warna biji dan mirip dengan dent corn dalam penggunaannya. Namun, jenis ini tidak tumbuh di semua daratan dan biasanya digunakan untuk tujuan dekorasi.",,
,,,,,
,,Tahap 2: Menyiapkan Lahan/Kebun,"1. Ketahui kapan waktu tanam. 
Waktu tanam jagung tergantung pada daerah tempat tinggal. Jika tinggal di daerah dengan musim dingin, waktu terbaik untuk menanam adalah antara bulan Mei dan Juni. Jangan menanam terlalu dini karena biji jagung akan membusuk jika tanah masih terlalu dingin.",,
,,,"2. Pilih lokasi penanaman.  
Tanaman jagung membutuhkan sinar matahari penuh, oleh karena itu pilihlah bidang tanah di kebun yang terbuka. Usahakan memilih area yang relatif bebas dari gulma/rumput liar karena tanaman jagung akan sulit bersaing dalam mendapatkan nutrisi dari dalam tanah.",,
,,,3. Siapkan tanah. Jagung membutuhkan tanah yang kaya nitrogen dan pemupukan yang baik. Tanamlah jagung pada tanah yang telah ditumbuhi tanaman buncis atau kacang polong untuk memperkaya unsur nitrogen di dalam tanah. Pastikan tanah memiliki suhu sekitar 16 derajat Celsius dengan menutupi tanah menggunakan plastik hitam dan melubanginya untuk tempat masuknya biji jagung jika area tersebut tidak cukup hangat. Tambahkan kompos atau pupuk pada tanah dua sampai empat minggu sebelum penanaman untuk menyatukan pupuk dengan tanah.,,
,,,,,
,,Tahap 3: Menanam jagung,"1. Tanam biji jagung yang sudah disiapkan. 
Untuk setiap orang yang intensif mengonsumsi jagung, tanamlah 10 hingga 15 tanaman dengan jarak tanam sekitar 61-91,4 cm. Tanam biji jagung sekitar 2,5-5,1 cm di bawah permukaan tanah dan tanamlah 2-3 biji bersama-sama dalam setiap lubang. Penyerbukan jagung dibantu oleh angin, sehingga sebaiknya menanamnya dalam satu blok daripada dalam baris individu. Jika menanam beberapa varietas jagung, pastikan untuk menanam pada area yang terpisah untuk mengurangi risiko terjadinya penyerbukan silang.",,
,,,"2. Lakukan penyiraman.
Tanaman jagung membutuhkan sekitar 2,5 cm air per minggu. Penyiraman yang jarang dapat menghasilkan tongkol yang berlubang tanpa biji. Hindari penyiraman dari sisi atas tanaman untuk menghindari hanyutnya serbuk sari.",,
,,,"3. Basmi gulma di sekitar tanaman jagung yang masih muda.
Basmi gulma di sekitar tanaman jagung hingga tingginya mencapai sekitar lutut. Setelah itu, tanaman jagung seharusnya bisa melawan pertumbuhan gulma sendiri.
",,
,,,"4. Tunggu pertumbuhannya
Jika menanam jagung antara Mei atau Juni, pada awal Juli tanaman sudah setinggi lutut sekitar 30,5-45,7 cm. Tanaman jagung akan selesai tumbuh sekitar tiga minggu setelah berkembang rambut jagung atau ""jumbai"" di pucuknya yang kering seperti ekor sutra berwarna cokelat.",,
,,,"5. Panen.
jika jagung sudah berutumbuh maka bisa dipanen.",,
,,,,,
Tomat,Lycopersicon,Tahap 1: Mendapatkan Biji Tomat Terbaik,"1. Pelajari daerah tempat Anda tinggal.
Tomat membutuhkan kondisi lingkungan yang ideal untuk tumbuh. Beberapa jenis tomat hanya dapat tumbuh dengan baik di tempat asalnya. Lakukan riset mengenai jenis tomat yang cocok untuk lingkungan dan lokasi Anda dengan menghubungi dinas pertanian setempat. Ada kemungkinan jenis tomat hibrida unik yang dapat tumbuh dengan sempurna pada jenis tanah dan iklim di tempat Anda.",,https://id.wikihow.com/Menanam-Tomat-Dari-Biji
,,,"2. Pilihlah satu jenis tomat
Tomat adalah tanaman yang memiliki banyak jenis dengan warna, ukuran, dan rasa yang berbeda-beda. Ada dua jenis cara pertumbuhan pada tanaman tomat, yaitu determinate dan indeterminate. Beberapa jenis tomat yang populer antara lain ""Red globe"" atau ""beefsteak"", tomat plum atau roma, dan tomat ceri atau anggur. Warna buah tomat dapat mempengaruhi rasanya, dengan tomat merah yang memberikan rasa klasik, tomat ungu atau coklat yang lebih kaya dan hangat, tomat kuning dan jingga yang lebih manis, dan tomat hijau yang cocok untuk masakan gurih.",,
